"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"13349",15506,"NCT01347788",154110,0.076923077,1,13,"Over the entire study period",NA,"Cohort 3","Dose level 0: cabozantinib 40 mg daily"
"13380",15538,"NCT00802841",331477,0.076923077,1,13,NA,NA,"Cross-over to Imatinib","600 mg QD"
"13404",15562,"NCT00320190",511283,0.076923077,1,13,"Baseline to Month 12 and Month 12 to Month 24",NA,"Imatinib, 800 mg","Imatinib, 400 mg, administered orally twice daily"
"13446",15608,"NCT00436332",469547,0.075949367,6,79,"From date of registration to maximum of 3 years.","Only adverse events and serious adverse events that are possibly, probably or definitely related to study drug are reported.","Erlotinib and Bevacizumab","Patients receive oral erlotinib hydrochloride once daily on days 1-21 and bevacizumab IV over 30-90 minutes on day 1."
"13457",15620,"NCT01012258",257489,0.075757576,5,66,"Up to Day 60 after last trial treatment administration and before EOT","An adverse event (AE) was defined as any untoward medical occurrence in the form of signs, symptoms, abnormal laboratory findings, or diseases that emerges or worsens relative to baseline during a clinical study with an IMP, regardless of causal relationship and even if no IMP has been administered.","Cetuximab: Treatment Emergent Phase","Participants received cetuximab 400 milligram/square meter (mg/m^2) intravenous (IV) infusion over 120 minutes for 1 week, subsequently followed by 250 mg/m^2 IV infusion over 60 minutes, from week 2 to 7 along with concomitant boost radiotherapy: 72.0 Gray (Gy) total for 42 fractions in 6 weeks, initially, once-daily fractions: 32.4 Gy in 18 fractions of 1.8 Gy for 3.6 weeks (5 fractions/week), followed by twice-daily fractions 39.6 Gy in 24 fractions for 2.4 weeks: morning dose 1.8 Gy/fraction for a total of 12 fractions 5 fractions/week; evening dose 1.5 Gy/fraction for a total of 12 fractions 5 fractions/week. Doses were separated by at least a 6-hour interval. Treatment emergent phase, i.e. treatment-emergent adverse events (TEAEs, adverse events which occur or worsen on the first dosing day of trial treatment and until 60 days after the last trial treatment administration (cetuximab or radiotherapy)."
"13479",15644,"NCT01040780",248352,0.075376884,15,199,NA,"Events were collected by systematic assessment","Gefitinib","Gefitinib 250 mg every 24 hours by mouth"
"13629",15820,"NCT00887575",300110,0.073170732,3,41,NA,NA,"Dose Level I","Neoadjuvant - Paclitaxel IV (70 mg/m^2) days 1, 8 and 15 of each cycle, Carboplatin IV (AUC = 5) day 1 of every cycle and Sunitinib PO (25mg) daily.
Maintenance - Sunitinib PO (25mg) daily"
"13710",15914,"NCT01831466",58204,0.071428571,5,70,"SAEs were assessed from informed consent through and including 28 calendar days after last administration of study treatment. Non-SAEs were recorded from time of first dose of study treatment through last participant visit.","The same event may appear as both an AE and an SAE. However, what is presented are distinct events. An event may be categorized as serious in 1 participant and as nonserious in another participant, or 1 participant may have experienced both a serious and nonserious event during the study. All AEs (including treatment area AEs) are presented.","Mild/Moderate: Tofacitinib 10 mg/g BID","Participants with a baseline PGA-C score of mild (2) or moderate (3) applied tofacitinib ointment, 10 mg/g, BID for 12 weeks."
"13719",15924,"NCT01632904",93680,0.071428571,4,56,"The duration of the study up to Week 16. This time frame defines the blinded, comparative phase of the study where the majority of patients remained on their original randomized assignment and exposure between ruxolitinib and hydroxyurea was similar.",NA,"Hydroxyurea","Hydroxyurea (HU) Hydroxyurea (500 mg capsules) will be orally self-administered at the dose that the subject was receiving previously. The dose may be increased after 4 weeks and again after 8 weeks of therapy to optimize efficacy for subjects meeting prespecified criteria.
Ruxolitinib-placebo All placebo will be self-administered, and dosing will be the same as with the blinded dose.
When adjustments are made to the HU dose, the dose of ruxolitinib-placebo will be adjusted concurrently."
"13720",15925,"NCT00802841",331478,0.071428571,4,56,NA,NA,"Cross-over to Nilotinib","Nilotinib 400 mg BID"
"13799",16015,"NCT00549328",427414,0.071428571,1,14,NA,NA,"Pazopanib 800 mg","Pazopanib 800 milligrams (mg) monotherapy given orally once daily"
"13929",16158,"NCT00343083",503390,0.069767442,3,43,NA,NA,"Cetuximab (ERBITUX) and Concurrent Carboplatin",NA
"13975",16211,"NCT01328054",159644,0.068965517,4,58,"Serious adverse events (SAEs) and non-serious adverse events (AEs) were collected from Day 1 until the follow-up visit (up to 28 days after the last dose of lapatinib [up to end of Study Week 4]).","The number of participants in 1st Period - placebo (57) is different from 2nd Period - lapatinib (58) because one participant was double dosed with lapatinib (i.e., received lapatinib during both the 1st period and 2nd period) due to dosing error.","Lapatinib 2000 mg","Participants received three doses of lapatinib 2000 mg (250 mg x 8 tablets/dose) in the morning and evening on Day 3 and in the morning on Day 4."
"13978",16214,"NCT01765569",67448,0.068965517,2,29,"From Screening to 28 days after the last dose of study treatment or until initiation of another anticancer therapy, whichever occurred first.",NA,"Period B","Vemurafenib 960 mg orally BID from Day 8 to Day 28."
"14019",16261,"NCT01125566",221880,0.068493151,5,73,"From first administration of treatment within the trial until 28 days after last administration of treatment within the trial, up to 869 days.","For the AV group, in the participant flow Total participants (Started) are 339 and for Adverse events Total # participants affected at risk are 337, this is because out of 339 subjects from the AV group, 2 subjects were not treated with the treatment.","AV Switched to TV","This group describes patients who crossed over from AV to TV following DMC recommendation to terminate recruitment on 26Apr2013. Patients discontinued AV and switched to TV if they were without disease progression on Afatinib+ Vinorelbine treatment on 26Apr2013."
"14047",16293,"NCT00770588",344946,0.068027211,10,147,NA,NA,"Gefitinib","Gefitinib (Iressa® 250 mg) 1 tablet daily"
"14178",16437,"NCT00090987",566174,0.066666667,2,30,NA,NA,"Imatinib Mesylate (Gleevec)","Imatinib mesylate (Gleevec) is administered 400 mg orally once a day"
"14226",16488,"NCT00754494",351541,0.066666667,1,15,"The onset date of adverse event is between the randomization date and the date of off-study, up to 95 days.",NA,"Arm I (25 mg)","Patients receive 25mg of erlotinib hydrochloride PO and one 100 mg of placebo and one 25 mg of placebo PO QD.
erlotinib hydrochloride: Given PO
placebo: Given PO
laboratory biomarker analysis: Correlative studies"
"14486",16773,"NCT01764022",67737,0.063492063,4,63,"Day 127","Population for safety analysis included patients who received at least one injection of study drug (n=124).","BCD-022 (CJSC BIOCAD)","BCD-022 is a product code for trastuzumab biosimilar manufactured by CJSC BIOCAD, Russia. In this arm patients will receive 6 courses of treatment with BCD-022 in combination with paclitaxel. Patients will receive BCD-022 at a loading dose of 8 mg/kg (once), followed by maintenance dose of 6 mg/kg every 3 weeks (5 administrations), + paclitaxel 175 mg/m2 every 3 weeks as 3 hour intravenous infusion (6 administrations)."
"14489",16776,"NCT00629499",396866,0.063492063,4,63,NA,NA,"Intervention","100 mg/m2 of intravenous (IV) nab paclitaxel weekly (i.e., on Days 1, 8, and 15 of each 3 week treatment cycle) in combination with 600 mg/m2 of IV cyclophosphamide once every 3 weeks for 4 cycles (i.e., a total treatment period of 12 weeks [84 days]). Patients with fluorescence in situ hybridization (FISH) HER2+ or IHC3+ breast cancer will also receive treatment with trastuzumab in addition to the nab paclitaxel / cyclophosphamide combination therapy. Maintenance therapy with trastuzumab will continue (for the HER2+ patients who are receiving trastuzumab) after the 12-week treatment period with combination nab paclitaxel/cyclophosphamide/trastuzumab. The total treatment time for trastuzumab will be 52 weeks rather than only 12 weeks."
"14518",16807,"NCT00374322",493023,0.062937063,99,1573,"Non-serious adverse events (AEs): collected from start of treatment until up to 5 days after the last dose of study treatment (up to 12 months). SAEs: collected up to any time during the follow-up period post discontinuation of study drug (up to 6 years).","Non-serious AEs and SAEs were collected in members of the Safety Population, comprised of all randomized participants who received at least one dose of randomized treatment. Two participants were randomized to placebo but received lapatinib; therefore, they are included in the lapatinib treatment arm.","Lapatinib 1500 mg","Participants received lapatinib 1500 milligrams (mg) orally once daily. Treatment was continued for a maximum of 12 months or until disease recurrence or development of a second primary cancer, withdrawal from study treatment due to unacceptable toxicity, or consent withdrawal."
"14556",16849,"NCT00098371",563156,0.0625,4,64,NA,"NCI Common Toxicity Criteria of Adverse Events (version 3) and modified NCI Common Toxicity Criteria guidelines for evaluating hematologic toxicity for leukemia was used to grade adverse events for patients. Adverse events are reported across all grades.","Treatment (Alvocidib)","Patients receive flavopiridol IV over 30 minutes followed by a 4-hour infusion on days 1, 8, 15, and 22. Treatment repeats every 42 days for up to 6 courses in the absence of disease progression or unacceptable toxicity. Patients achieving at least a partial remission (PR) and whose PR lasts for > 6 months after completion of treatment may receive 6 additional courses of flavopiridol."
"14607",16905,"NCT01449513",132011,0.0625,1,16,NA,NA,"Ingenol Mebutate Gel (PEP005 Gel)","Ingenol mebutate gel (PEP005 gel)
Ingenol mebutate gel (0.05%) once daily on two consecutive days to an 25cm2 area"
"14627",16926,"NCT01017653",255848,0.0625,1,16,"16 months","The adverse events were gathered in Common Terminology Criteria for Adverse Events v.3.0, and have been converted to v.4.0 for entry into ClinicalTrials.gov","Panitumumab and Irinotecan","Panitumumab in Combination with Irinotecan : Panitumumab, 6mg/kg, as an intravenous infusion every other week in combination with Irinotecan (dose dependent upon whether the patient is taking an enzyme-inducing anti-epileptic drug [EIAED]). On an enzyme-inducing anti-epileptic drug (EIAED), irinotecan will be dosed at 340 mg/m2 every other week. Not on an EIAED, irinotecan will be dosed at 125 mg/m2. Treatment will continue until tumor progression or unacceptable toxicity."
"14822",17141,"NCT00553358",425330,0.060402685,9,149,NA,"Only events, assessments, and treatments with a start date on or before the end date of the neoadjuvant phase have been summarized. One non-serious event was reported as an uncoded event. A non-serious event of dental care was actually coded to Surgical and medical procedures.","Trastuzumab 2 mg/kg","Trastuzumab (4 mg/kilograms [kg] IV load followed by 2 mg/kg IV weekly) for 6 weeks, followed by trastuzumab plus weekly paclitaxel (80 mg/m^2 IV) for an additional 12 weeks"
"14946",17276,"NCT02222207",16614,0.058823529,3,51,"From the start of study treatment until 30 days after last dose of study drug treatment (up to Week 16).",NA,"Part A Regorafenib","Participants self-administered 30 mg/mL, 25 mcL, 1 drop of regorafenib eye drops, topically thrice daily (TID) to the study eye for 12 weeks."
"15282",17642,"NCT00070499",570830,0.055555556,4,72,"While the patient is on treatment until resolution of acute toxicities with maximum grade reported","Regular investigator assessments are reported after each cycle of protocol treatment","Standard Dose Imatinib A","Randomization occurred between standard dose imatinib A and high dose imatinib/ patients received 400 mg imatinib daily"
"15298",17661,"NCT01164579",209839,0.055555556,2,36,"Adverse events were collected up to 28 calendar days after the last administration of investigational product.","The same event may appear as both an adverse event (AE) and a serious adverse event (SAE). However, what is presented are distinct events. An event may be categorized as serious in 1 participant and as nonserious in another participant, or 1 participant may have experienced both a serious and nonserious event during the study.","Tofacitinib (CP-690,550) Plus MTX","Participants received CP-690,550 10 mg, tablets, PO, BID, and MTX 10 mg/week to 20 mg/week, capsules, PO, for a maximum of 12 months. MTX dose was titrated as follows: 10 mg once weekly for 4 weeks; if well tolerated, then at Month 1 titrate up to 15 mg once weekly for 4 weeks; if well tolerated, then at Month 2 titrate up to 20 mg once weekly for the duration of the study. A single dose reduction of MTX 5 mg was allowed because of lack of tolerance, as long as the participant remained on a dose of at least MTX 10 mg weekly. Participants also received folate supplementation according to local MTX label guidelines and standard of care."
"15748",18166,"NCT00124618",554505,0.051724138,3,58,NA,NA,"Cetuximab/Radiation","Cetuximab (C225) and Radiation therapy"
"16070",18515,"NCT01328951",159338,0.049382716,8,162,"Up to approximately 4.5 years (visits at Baseline and Weeks 6, 12, and 18 and every 12 weeks until disease progression, death, or unacceptable toxicity during BP; per local standards and 28 days after last visit during OLP)","Safety Population: All participants who received at least one dose of study treatment, according to drug actually received. Non-serious adverse events (NSAEs) were not collected in the OLP. Hence, 0 participants would be affected and at risk in Other (Not Including Serious) Adverse Events. However, an NSAE in 1 participant was reported to Roche outside protocol (see Rash). Other NSAEs that may have occurred during the OLP are not included in the table because they were not reported to Roche.","Second-Line Chemotherapy (Early Erlotinib)","Participants who received blinded erlotinib and who demonstrated disease progression were unblinded and could receive an approved second-line therapy (but not EGFR targeted therapies) or BSC as chosen by the investigator. This treatment continued during the OLP until disease progression, death, or unacceptable toxicity."
"16198",18662,"NCT02595450",2301,0.048109966,14,291,"Up to 6 years","Analysis population included participants who received at least 1 documented treatment cycle.","Erlotinib","Participants with locally advanced or metastatic non-small cell lung cancer were treated with erlotinib according to the product label. This non-interventional study did not affect by any means the treatment, medical care or monitoring of the participant, since it reported retrospective data, which already existed in the participants' medical files."
"16335",18815,"NCT00509587",443605,0.047619048,1,21,NA,NA,"Treatment (Pazopanib Hydrochloride)","Patients receive oral pazopanib once daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.
pazopanib hydrochloride: Given orally
pharmacological study: Correlative studies
laboratory biomarker analysis: Correlative studies"
"16375",18862,"NCT00281658",522986,0.046979866,7,149,NA,"Serious adverse events and adverse events were collected in the Safety Population, comprised of all randomized participants who received at least one dose of investigational product.","Lapatinib 1500 mg","Lapatinib 1500 mg administered once daily. This is not a comparative treatment arm."
"16557",19068,"NCT01946529",43457,0.045454545,1,22,"Adverse events were collected from the on-study date through 05/03/2016.",NA,"Group B (High Risk) - Total","All Group B High Risk participants with ESFT or DSRCT.
Participants received vincristine, doxorubicin, cyclophosphamide, ifosfamide, and etoposide. Patients with measurable disease were eligible to receive irinotecan, temozolomide, and temsirolimus. Additionally, all patients were eligible to receive a maintenance therapy at the end of treatment including bevacizumab and sorafenib. Depending on the size and location of the participant's tumor, they had surgery alone, radiation alone, or surgery followed by radiation."
"16596",19109,"NCT00817531",325225,0.045454545,1,22,"3-4 weeks","Following the patient's written consent to participate in the study, then to the end of 3-4 week treatment","Dasatinib","Patients took Dasatinib 100mg daily"
"16605",19118,"NCT00726232",361710,0.045454545,1,22,NA,NA,"ET: Ruxolitinib 25 mg BID","Participants with Essential Thrombocythemia received 25 mg Ruxolitinib orally twice a day (BID) for 56 days (two 28-day cycles) during the dose-ranging phase. After patients completed 2 cycles of treatment at the randomized dose, Investigators were permitted to adjust the dose/regimen on an individual basis to achieve an optimal balance of efficacy and safety. Treatment continued until a patient met a withdrawal criterion, had intolerable toxicity, progression of disease, or withdrew consent."
"16654",19175,"NCT01480674",123163,0.044776119,6,134,"Up to 1 year","An AE is defined as any unfavourable and unintended sign, symptom, or disease temporally associated with the use of study drug, whether or not considered related to the study drug .The data was reported for prospective period. Participants with available data in the prospective period were analysed.","Trastuzumab","Eligible participants with HER2-positive metastatic or locally advanced breast cancer, who were treated with trastuzumab as a first-line therapy and were progression-free for at least 3 years after treatment initiation, were included and were followed for one year."
"16684",19206,"NCT01445769",132596,0.044444444,2,45,"From the first dose of study medication through the Follow-Up Visit.","Safety population: All participants who took at least 1 dose of study drug.","Ruxolitinib","Participants initially received ruxolitinib 10 mg twice a day (bid). Dose increases of 5 mg bid were permitted at Weeks 12 and 18 for subjects who did not meet criteria for or have a dose hold over the prior 6 weeks, had a platelet count ≥100 x 10^9/L at week 12 or ≥150 x 10^9/L at week 18, and had a self-reported PGIC score of 3 (minimally improved) to 7 (very much worse) OR the subject's palpable spleen length had been reduced by less than 40% at that visit relative to Baseline. The maximum dose was 15 mg BID at Week 12 and 20 mg bid at Week 18. There were also protocol-required dose decreases for protocol-defined anemia and thrombocytopenia."
"16789",19322,"NCT01910181",48625,0.043478261,2,46,"Baseline until up to 28 days of last dose (up to 16 months as of data cutoff 15-Dec-2014)","Safety Population.","Vemurafenib: All Participants","Participants were entered into the study into one of two cohorts. Vemurafenib was administered orally as 960 mg twice daily until progression, unacceptable toxicity, consent withdrawal, decision by the investigator or Sponsor, or protocol/eligibility violation. The PK Cohort received treatment on Days 1 to 21 (morning dose only on Day 21), with a drug holiday from Days 22 to 27, and resumed treatment on Day 28. The Expansion Cohort received the same regimen from Day 1 onward, without a drug holiday."
"16974",19521,"NCT01458951",128970,0.041958042,18,429,"Baseline up to Day 98","The same event may appear as both an adverse event (AE) and an serious adverse event (SAE). However, what is presented are distinct events. An event may be categorized as serious in one participant and as non-serious in another participant, or one participant may have experienced both a serious and non serious event during the study.","Tofacitinib 10 mg BID","Participants received tofacitinib 10 mg tablets, orally, BID for 9 weeks of double blind treatment period."
"17033",19582,"NCT00412217",479146,0.041666667,2,48,"From Baseline until end of treatment (up to 1 year)","ITT Population. Adverse events (AEs) are organized by Medical Dictionary for Regulatory Activities (MedDRA) System Organ Class (SOC), but the AE terms included below are same as they were originally registered and saved.","Placebo","Participants with histologically confirmed advanced SCC of the head and neck, treated with surgical resection and chemoradiotherapy or radiotherapy alone, received placebo tablets (matched to erlotinib) once daily for 1 year until disease progression or intolerable toxicity."
"17037",19588,"NCT02000531",36360,0.041666667,1,24,"start of second-line treatment to data cut-off in December 2014 (within 12 months)",NA,"Chemotherapy-Erlotinib","Chemotherapy in first-line treatment, followed by erlotinib in the second-line treatment"
"17131",19690,"NCT01465763",127406,0.040983607,5,122,"Baseline up to Day 98","The same event may appear as both an adverse event (AE) and an serious adverse event (SAE). However, what is presented are distinct events. An event may be categorized as serious in one participant and as non-serious in another participant, or one participant may have experienced both a serious and non-serious event during the study.","Placebo BID","Participants received tofacitinib-matched placebo tablets, orally, BID for 9 weeks of double blind treatment period."
"17157",19717,"NCT01787383",63797,0.040816327,4,98,NA,NA,"Ingenol Mebutate Gel Sequential Treatment","Ingenol mebutate gel in 2 doses (0.015% and 0.05%) were applied sequentially: ingenol mebutate gel 0.015% (Picato®) was applied once daily for 3 consecutive days on on face/scalp and ingenol mebutate gel 0.05% (Picato®) was applied once daily for 2 consecutive days on trunk/extremities."
"17360",19943,"NCT00573144",417476,0.04,1,25,NA,NA,"Nesiritide","Infusion of 72 hours of IV nesiritide at 0.006 mcg/kg/min."
"17367",19950,"NCT00376935",492506,0.04,1,25,NA,NA,"Palifermin (20 Mcg/kg)","Participants will receive 1 palifermin 20 mcg/kg (0.004) mL/kg IV bolus injection, two placebo for palifermin IV bolus injections on each of 3 consecutive days: day 1 (entry), day 2 and day 3."
"17368",19951,"NCT00376935",492505,0.04,1,25,NA,NA,"Palifermin (40 Mcg/kg)","Participants will receive 1 palifermin 40 mcg/kg (0.008) mL/kg IV bolus injection, two placebo for palifermin IV bolus injections on each of 3 consecutive days: day 1 (entry), day 2 and day 3."
"17595",20204,"NCT00661193",386515,0.038461538,1,26,"From date of registration to 3 years or death, whichever comes first.","Only adverse events and serious adverse events that are possibly, probably or definitely related to study drug are reported.","Arm II","Patients receive paclitaxel IV over 3 hours and carboplatin IV over 30 minutes on day 1 and oral erlotinib hydrochloride once daily on days 2-16. Treatment repeats every 21 days for 4 courses. Beginning in course 5 and for all subsequent courses, patients receive oral erlotinib hydrochloride alone on days 1-21. Courses with erlotinib hydrochloride repeat every 21 days in the absence of disease progression or unacceptable toxicity."
"17886",20514,"NCT00815308",325770,0.036363636,2,55,NA,NA,"Cetuximab, Concurrent Chemo-radiotherapy","Cetuximab, injection, loading dose400 mg/m^2,(Day1 in Week1) followed by 250 mg/m^2(Day1, every week for Weeks 2-8) Paclitaxel, injection,45 mg/m^2 (Day 1, every week for Weeks 2-8) Cisplatin, injection,20 mg/m^2 (Day 1, every week for Weeks 2-8) radiation therapy, 59.4 Gy, 1.8 Gy/33 fractions,1 fraction daily, Days 1-5 every week for Weeks 2-7, and Days 1-3 for Week 8"
"17984",20625,"NCT01765569",67447,0.035714286,1,28,"From Screening to 28 days after the last dose of study treatment or until initiation of another anticancer therapy, whichever occurred first.",NA,"Period C","Single oral dose of digoxin 0.25 mg on Day 29, and vemurafenib 960 mg orally BID from Day 29 to Day 35."
"18024",20669,"NCT00230126",535295,0.035714286,1,28,"1 year",NA,"Arm A: 150 mg/Day Cycles 1 - 3","150 mg/day cycles 1 - 3
erlotinib: Arm A: 150 mg/day cycles 1 - 3. Arm B: Cycle 1 - 175 or 200 mg/day depending on body weight; Cycle 2 - if rash developed, then 150 mg/day; if no rash, then 175 mg/day; Cycle 3 - if rash developed, then 175 mg/day; if no rash, then 200 mg/day."
"18052",20701,"NCT00999804",261503,0.035294118,3,85,"7 months","Adverse events experienced by participants will be collected and reported from initiation of study medication, throughout the study, and within 30 days of the last dose of study medication.","24-week Arm","Participants will receive 24-weeks of lapatinib plus trastuzumab. Participants who are estrogen receptor (ER) and/or progesterone receptor (PR) positive will also receive endocrine therapy.
Lapatinib: 1000 mg by mouth daily
Letrozole: 2.5 mg by mouth daily (for hormone receptor positive participants only)
Trastuzumab: 6 mg/kg intravenously, every 3 weeks"
"18213",20876,"NCT00447122",464755,0.034482759,1,29,NA,NA,"Treatment","lapatinib, 1,500 mg/day, and Gemcitabine, 1 gm/m2/week for 3 weeks followed by 1 week off, until disease progression"
"18245",20909,"NCT00765882",346326,0.034146341,7,205,"Adverse Event reporting occurred from October 2008 through August 2009.",NA,"Linaclotide 290µg","Linaclotide, 290µg dose, oral administration, once per day"
"18299",20966,"NCT00112736",557981,0.033898305,2,59,"Adverse Events were collected weekly for the first cycle and then at the start of each cycle while on treatment and at time of off study.",NA,"Phase II (Erlotinib & Erlotinib)","Oral erlotinib 1 daily days 1-28 (150mg), temsirolimus IV 30 minutes days 1, 8, 15, 22 at MTD phse I. Every 28 days until disease progression or unacceptable toxicity.
PHASE II (preoperative component): Patients who are surgical candidates may opt to undergo surgical resection of the tumor. Beginning 5-7 days before surgery, these patients receive oral erlotinib once daily until surgery. Patients also receive temsirolimus IV over 30 minutes at the MTD and then undergo surgical resection of the tumor 3-24 hours later. Beginning 2-4 weeks after surgery, patients receive temsirolimus at the MTD and erlotinib as in phase I.
therapeutic conventional surgery: Undergo surgical resection
laboratory biomarker analysis: Correlative studies"
"18324",20995,"NCT01465763",127408,0.033613445,16,476,"Baseline up to Day 98","The same event may appear as both an adverse event (AE) and an serious adverse event (SAE). However, what is presented are distinct events. An event may be categorized as serious in one participant and as non-serious in another participant, or one participant may have experienced both a serious and non-serious event during the study.","Tofacitinib 10 mg BID","Participants received tofacitinib 10 mg, tablets, orally, BID for 9 weeks of double blind treatment period."
"18833",21548,"NCT00661193",386516,0.03125,1,32,"From date of registration to 3 years or death, whichever comes first.","Only adverse events and serious adverse events that are possibly, probably or definitely related to study drug are reported.","Arm I","Patients receive oral erlotinib hydrochloride once daily on days 1-21. Courses repeat every 21 days in the absence of disease progression or unacceptable toxicity."
"19075",21825,"NCT01787383",63798,0.02970297,3,101,NA,NA,"Ingenol Mebutate Gel Simultaneous Treatment","Ingenol mebutate gel in 2 doses (0.015% and 0.05%) were applied simultaneously: ingenol mebutate gel 0.015% (Picato®) was applied once daily for 3 consecutive days on on face/scalp and ingenol mebutate gel 0.05% (Picato®) was applied once daily for 2 consecutive days on trunk/extremities."
"19403",22172,"NCT02075073",29176,0.027777778,1,36,NA,NA,"SB3 (Proposed Trastuzumab Biosimilar)","SB3, single dose of 6 mg/kg via intravenous infusion (study drug)
SB3"
"19414",22184,"NCT01164579",209838,0.027777778,1,36,"Adverse events were collected up to 28 calendar days after the last administration of investigational product.","The same event may appear as both an adverse event (AE) and a serious adverse event (SAE). However, what is presented are distinct events. An event may be categorized as serious in 1 participant and as nonserious in another participant, or 1 participant may have experienced both a serious and nonserious event during the study.","Tofacitinib (CP-690,550)","Participants received CP-690,550 10 mg tablets, PO, BID and matching placebo MTX capsules, PO, once weekly for a maximum of 12 months. To maintain the blind, matching placebo MTX was titrated as follows: 4 capsules once weekly for 4 weeks; if well tolerated, at Month 1 titrate up to 6 capsules once weekly for 4 weeks; if well tolerated, then at Month 2 titrate up to 8 capsules once weekly for the duration of the study. A single dose reduction of MTX placebo to 2 capsules was allowed because of lack of tolerance, as long as the participant remained on a dose of at least 4 MTX placebo capsules weekly. Participants also received folate supplementation according to local MTX label guidelines and standard of care."
"19527",22305,"NCT01831466",58201,0.027027027,2,74,"SAEs were assessed from informed consent through and including 28 calendar days after last administration of study treatment. Non-SAEs were recorded from time of first dose of study treatment through last participant visit.","The same event may appear as both an AE and an SAE. However, what is presented are distinct events. An event may be categorized as serious in 1 participant and as nonserious in another participant, or 1 participant may have experienced both a serious and nonserious event during the study. All AEs (including treatment area AEs) are presented.","Mild/Moderate: Tofacitinib 10 mg/g QD","Participants with a baseline PGA-C score of mild (2) or moderate (3) applied tofacitinib ointment 10 mg/g, QD for 12 weeks."
"19618",22409,"NCT01401166",141469,0.026548673,6,226,NA,"Safety population: All participants who received at least 1 dose of trastuzumab.
Not all participants in the safety population received trastuzumab both subcutaneously and intravenously due to participants discontinuing from the study before they crossed-over to the other route of administration.","Trastuzumab IV – Cohort 1 – Continuation Period","Participants received trastuzumab 6 mg/kg intravenous Participants received trastuzumab 6 mg/kg intravenously on Day 1 of each 3-week cycle for up to 10 remaining cycles."
"19704",22501,"NCT01642914",91585,0.026143791,4,153,"Adverse event reporting occurred over a 10 month period from August of 2012 to June of 2013 at 141 study sites in the United States and Canada",NA,"Linaclotide 145 Micrograms","Linaclotide 145 micrograms
Linaclotide 145 micrograms: oral capsule, taken once daily each morning at least 30 minutes before breakfast"
"20013",22840,"NCT01151852",213859,0.024390244,1,41,NA,NA,"Imatinib","Patients will be randomly assigned to receive imatinib at a dose of 400mg/day, taken once daily with food, in the form of 100-mg tablets. The study medication will be administered until disease progression, unacceptable toxicity, or withdrawal of consent."
"20127",22961,"NCT01401166",141468,0.023809524,1,42,NA,"Safety population: All participants who received at least 1 dose of trastuzumab.
Not all participants in the safety population received trastuzumab both subcutaneously and intravenously due to participants discontinuing from the study before they crossed-over to the other route of administration.","Trastuzumab Self-administered SC – Cohort 1 – Cont","Participants in Cohort 1, who had at least 2 treatment cycles remaining of their 18-cycle treatment course, were offered the opportunity to self-administer trastuzumab 600 mg subcutaneously using the single-injection device on Day 1 of each 3-week cycle under the direction of a trained health care practitioner."
"20253",23092,"NCT00999804",261502,0.023255814,1,43,"7 months","Adverse events experienced by participants will be collected and reported from initiation of study medication, throughout the study, and within 30 days of the last dose of study medication.","12-week Arm","Participants will receive 12-weeks of lapatinib plus trastuzumab. Participants who are estrogen receptor (ER) and/or progesterone receptor (PR) positive will also receive endocrine therapy.
Lapatinib: 1000 mg by mouth daily
Letrozole: 2.5 mg by mouth daily (for hormone receptor positive participants only)
Trastuzumab: 6 mg/kg intravenously, every 3 weeks"
"20363",23211,"NCT00398398",484102,0.022727273,1,44,"1 year after completion of study treatment. If patients received another treatment, toxicity assessment was not done further.",NA,"Xelox Plus Cetuximab","Capecitabine, oxaliplatin and cetuximab"
"20662",23533,"NCT00730015",360367,0.021052632,2,95,"Adverse Event data were collected from October 2008 through October 2009. The Treatment Period lasted 12 weeks and the Randomized Withdrawal (RW) Period started after the Treamtent Period and lasted 4 weeks.",NA,"Linaclotide 145μg to Placebo RW Period","Linaclotide 145μg, oral administration, once per day to Dose-matched placebo, oral administration, once per day"
"20885",23774,"NCT00942604",283530,0.02,2,100,"57 days",NA,"PEP005 (Ingenol Mebutate) Gel","PEP005 (ingenol mebutate) Gel 0.05% once daily for 2 consecutive days"
"21055",23953,"NCT01401166",141466,0.019417476,4,206,NA,"Safety population: All participants who received at least 1 dose of trastuzumab.
Not all participants in the safety population received trastuzumab both subcutaneously and intravenously due to participants discontinuing from the study before they crossed-over to the other route of administration.","Trastuzumab SC – Cohort 2 – Continuation Period","Participants received trastuzumab 600 mg/kg subcutaneously on Day 1 of each 3-week cycle for up to 10 remaining cycles."
"21098",24002,"NCT01786668",64042,0.019230769,1,52,"From informed consent through and including 28 calendar days after the last administration of the investigational product.","The same event may appear as both an adverse event (AE) and a serious AE (SAE). However, what is presented are distinct events. An event may be categorized as serious in 1 participant and as nonserious in another participant, or 1 participant may have experienced both a serious and nonserious event during the study.","Tofacitinib 5 mg BID","Participants were administered 4 tablets (one 5 mg tablet of tofacitinib, one 5 mg and two 1 mg matching placebo tablets) orally BID (in the AM and PM) for a total of 12 weeks."
